Solar elevation from 
at altitude=25.00Km latitude=40.00 longitude=-86.00

Day	== Time ==	Solar Elevation
01-01	07:31:50	-01.673°
01-01	08:29:06	+07.425°
01-01	09:26:22	+15.307°
01-01	10:23:38	+21.512°
01-01	11:20:54	+25.531°
01-01	12:18:09	+26.929°
01-01	13:15:25	+25.531°
01-01	14:12:41	+21.512°
01-01	15:09:57	+15.307°
01-01	16:07:13	+07.425°
01-01	17:04:29	-01.673°
01-02	07:31:59	-01.664°
01-02	08:29:18	+07.453°
01-02	09:26:37	+15.353°
01-02	10:23:56	+21.575°
01-02	11:21:15	+25.606°
01-02	12:18:34	+27.008°
01-02	13:15:54	+25.606°
01-02	14:13:13	+21.575°
01-02	15:10:32	+15.353°
01-02	16:07:51	+07.453°
01-02	17:05:10	-01.664°
01-03	07:32:06	-01.654°
01-03	08:29:28	+07.483°
01-03	09:26:51	+15.404°
01-03	10:24:14	+21.644°
01-03	11:21:36	+25.688°
01-03	12:18:59	+27.095°
01-03	13:16:22	+25.688°
01-03	14:13:44	+21.644°
01-03	15:11:07	+15.404°
01-03	16:08:30	+07.483°
01-03	17:05:52	-01.654°
01-04	07:32:11	-01.643°
01-04	08:29:37	+07.516°
01-04	09:27:04	+15.459°
01-04	10:24:30	+21.719°
01-04	11:21:57	+25.777°
01-04	12:19:23	+27.190°
01-04	13:16:50	+25.777°
01-04	14:14:16	+21.719°
01-04	15:11:43	+15.459°
01-04	16:09:09	+07.516°
01-04	17:06:36	-01.643°
01-05	07:32:13	-01.632°
01-05	08:29:44	+07.552°
01-05	09:27:15	+15.519°
01-05	10:24:46	+21.800°
01-05	11:22:16	+25.873°
01-05	12:19:47	+27.292°
01-05	13:17:18	+25.873°
01-05	14:14:48	+21.800°
01-05	15:12:19	+15.519°
01-05	16:09:50	+07.552°
01-05	17:07:20	-01.632°
01-06	07:32:14	-01.619°
01-06	08:29:50	+07.590°
01-06	09:27:25	+15.583°
01-06	10:24:60	+21.887°
01-06	11:22:35	+25.977°
01-06	12:20:10	+27.401°
01-06	13:17:45	+25.977°
01-06	14:15:20	+21.887°
01-06	15:12:56	+15.583°
01-06	16:10:31	+07.590°
01-06	17:08:06	-01.619°
01-07	07:32:13	-01.606°
01-07	08:29:53	+07.631°
01-07	09:27:33	+15.651°
01-07	10:25:13	+21.980°
01-07	11:22:53	+26.087°
01-07	12:20:33	+27.518°
01-07	13:18:13	+26.087°
01-07	14:15:53	+21.980°
01-07	15:13:33	+15.651°
